cost,incumbents,operation_time
50.0,170.34988403320312,0.0
59.84429798620629,236.8889467282444,29.57925820350647
66.72228230130222,236.8889467282444,59.03169369697571
76.34912788078516,236.8889467282444,88.57164812088013
85.8760361564079,236.8889467282444,121.05516839027405
89.76201793631522,236.8889467282444,155.8564636707306
97.51023003090862,236.8889467282444,189.6981418132782
103.2493098721126,236.8889467282444,222.5514256954193
112.85957133286729,236.8889467282444,256.9819371700287
122.79551765734195,236.8889467282444,290.83183097839355
129.74913628228228,236.8889467282444,326.5905704498291
137.6024949387819,236.8889467282444,360.9870297908783
145.5930104308816,236.8889467282444,395.2639775276184
150.77866476647648,236.8889467282444,432.1171758174896
159.1696353359264,236.8889467282444,469.2789204120636
164.97662050804732,236.8889467282444,508.6844780445099
173.6089752991362,236.8889467282444,546.2852308750153
181.1697737672844,236.8889467282444,586.0270128250122
188.12343546711315,236.8889467282444,623.5351092815399
194.95853462781665,236.8889467282444,666.5182929039001
201.22740681123238,236.8889467282444,708.0668120384216
208.35091604499195,236.8889467282444,752.1965487003326
215.07510858633165,236.8889467282444,793.5086832046509
222.18798250465954,236.8889467282444,833.9461209774017
228.9272498319138,236.8889467282444,875.3524687290192
233.80120665914663,236.8889467282444,915.721705198288
242.4409666244615,236.8889467282444,957.2172405719757
250.66888981849863,236.8889467282444,998.9053065776825
258.19437141142134,236.8889467282444,1039.570275068283
267.4594541253601,236.8889467282444,1081.0324277877808
273.18494724318913,236.8889467282444,1122.7611095905304
281.3943756964612,236.8889467282444,1165.6627485752106
286.7612008971966,281.7883595435197,1207.3247094154358
293.95132403279644,281.7883595435197,1250.3412280082703
301.3600667809965,281.7883595435197,1293.5079176425934
