cost,incumbents,operation_time
50.0,211.23694983792836,0.0
59.945372086547685,211.23694983792836,230.93943619728088
69.86412305520814,211.23694983792836,381.67894649505615
79.75718330186102,211.23694983792836,533.3816320896149
89.26617362169716,211.23694983792836,687.4210424423218
97.6664441434573,211.23694983792836,848.183292388916
106.33587854134942,211.23694983792836,1015.7079746723175
115.06005185706204,211.23694983792836,1189.4564273357391
122.95981643962345,211.23694983792836,1382.392114162445
132.4654855149501,211.23694983792836,1582.259483575821
140.5013702504388,211.23694983792836,1788.4869043827057
148.56555774554892,211.23694983792836,2000.468313217163
157.9482005520456,211.23694983792836,2219.6561844348907
166.77357222765096,211.23694983792836,2445.448574066162
173.54478770703918,211.23694983792836,2675.3087933063507
180.6135388534004,211.23694983792836,2911.495766878128
185.4424143818942,211.23694983792836,3152.0643894672394
194.31325747813978,211.23694983792836,3402.7830624580383
201.33896646482086,211.23694983792836,3657.69709277153
209.5341369280115,211.23694983792836,3924.2310132980347
218.11769416619455,211.23694983792836,4196.821916341782
226.7994167846253,211.23694983792836,4476.536882400513
235.16355954474224,211.23694983792836,4763.808175086975
244.0086037863102,211.23694983792836,5055.181608438492
250.7533810075814,211.23694983792836,5352.34854221344
260.2865747344018,211.23694983792836,5666.613249778748
267.08406170161237,211.23694983792836,5997.5139791965485
272.57549634404654,211.23694983792836,6322.437806844711
280.53802545511894,211.23694983792836,6692.555182933807
286.10309656731584,211.23694983792836,7063.6603310108185
294.61702444056397,211.23694983792836,7444.807631254196
300.7594568852568,211.23694983792836,7833.051906347275
